date,year,type,country,state,activity,sex,age,injury,species,source
2024-02-04,2024,Provoked,Trinidad,,Other,M,,Shoulder bitten,Black Shark,"Trinidad Guardian, 2/11/2014"
2024-01-09,2024,Unprovoked,Australia,South Australia,Board activities/sports,M,64,Leg bitten,White Shark,"A. Currie, GSAF"
2024-01-05,2024,Provoked,South Africa,Eastern Cape Province,Other,M,62,Provoked incident. Lacerations and puncture wounds to hand and calf from hooked shark ,Other,Jacaranda fm. 12/6/2024
2023-12-24,2023,Unprovoked,Australia,Western Australia,Board activities/sports,M,46,Puncture wounds to right ankle,Other,"9 News, 12/25/2023"
2023-09-06,2023,Exogens,Coral Sea,,Other,M,,Catamaran severely damaged by sharks. No injurty to the 3 men onboard,Other,"B. Myatt, GSAF"
2023-06-23,2023,Unprovoked,Usa,Florida,Swimming activities/sports,F,!2,Multiple puncture wounds to right thigh,Other,"Fox 35, 6/29/2023"
2023-06-23,2023,Unprovoked,Usa,Florida,Other,M,,Hand bitten,Other,"South Florida Sun Sentinel, 6/23/2023"
2023-06-07,2023,Unprovoked,Bahamas,Freeport,Swimming activities/sports,F,73,Calf severely bitten,Other,"J. Marchand, GSAF"
2023-05-18,2023,Unprovoked,Usa,Florida,Other,M,20, ,Other,"J. Marchand, GSAF"
2023-05-14,2023,Unprovoked,Usa,South Carolina,Swimming activities/sports,F,24,Minor inuries to right knee,Other,"The Island Eye, 5/15/2023"
2023-05-13,2023,Unprovoked,Australia,South Australia,Board activities/sports,M,46,FATAL,White Shark,"B. Myatt & S. De Marchi, GSAF"
2023-05-11,2023,Unprovoked,Usa,Florida,Playing or floating in the water,F,13,Multiple bites,Bull Shark,".A. Curriie, GSAF"
2023-05-11,2023,Provoked,Usa,Hawaii,Board activities/sports,M,,"Shark bit kayak, no inury to occupant",Tiger Shark,"J.Marcharnd, GSAF"
2023-05-05,2023,Unprovoked,Usa,Florida,Other,M,22,Injury to lower leg,Other,"News19, 5/5/2023"
2023-05-03,2023,Unprovoked,South Africa,Easten Cape Province,Board activities/sports,M,50s,Leg injured,Other,"News 24, 5/3/2023"
2023-05-01,2023,Unprovoked,South Africa,Easten Cape Province,Swimming activities/sports,M,39,Shoulder injured,Other,"News 24, 5/2/2023"
2023-04-29,2023,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,,Minor injuries,Other,"The West Austalian, 4/30/2023"
2023-04-29,2023,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,11,Cuts to leg,Other,"9 News, 4/29/20234%"
2023-04-23,2023,Unprovoked,Usa,Florida,Other,M,,Minor injury to lower right leg,Bull Shark,"A. Currie, GSAF"
2023-04-22,2023,Unprovoked,Australia,Western Australia,Board activities/sports,M,30,Bite to right arm,Bronze Shark,"The West Australian, 4/22/2023"
2023-04-11,2023,Unprovoked,Usa,Florida,Board activities/sports,F,50s,Lacerations to leg,Other,"NBC-6,4/11/2023"
2023-04-09,2023,Exogens,Usa,Florida,Board activities/sports,M,,"No injury, kayak damaged",Other,"A/ Currie, GSAF"
2023-04-09,2023,Unprovoked,Usa,Hawaii,Board activities/sports,M,58,Injuries to right foot ,Tiger Shark,"Khon2, 4/9/2023"
2023-03-25,2023,Unprovoked,Usa,Florida,Board activities/sports,M,67,Lacertions to right calf,Other,"Yahoo News, 3/28/2023"
2023-03-25,2023,Provoked,Cuba,Artemisa,Other,M,17,Arm bitten,Other,"EFE, 03/29/2023"
2023-03-22,2023,Unprovoked,Australia,Western Australia,Other,M,30s,Lower left leg and foot injured,Other,"A. Currie, GSAF"
2023-03-19,2023,Unprovoked,Usa,Hawaii,Swimming activities/sports,M,60,Left hand and  left leg.,Black Shark,"Khon2, 3/19/2023"
2023-03-17,2023,Unconfirmed,Mexico,Quintana Roo,Swimming activities/sports,M,10,Significant  injury to leg ,Other,"Denver7, 3/29/2023"
2023-03-16,2023,Unprovoked,Australia,Western Australia,Board activities/sports,F,,,Other,"B. Myatt, GSAF"
2023-03-06,2023,Unprovoked,Brazil,Pernambuco,Swimming activities/sports,F,15,Left arm severly injured,Other,"JC, 3/6/2023"
2023-03-05,2023,Unprovoked,Brazil,Pernambuco,Swimming activities/sports,M,14,Right thigh bitten resulting in surgical amputation,Other,"JC, 3/6/2023"
2023-03-02,2023,Unprovoked,Seychelles,Praslin Island,Swimming activities/sports,M,6,Left foot bitten,Lemon Shark,"Midlibre, 3/18/2023"
2023-02-21,2023,Unprovoked,Brazil,Pernambuco,Board activities/sports,M,32,Injuries to left thih and calf,Other,"Globo, 2/21/2023"
2023-02-19,2023,Unprovoked,New Caledonia,South Province,Swimming activities/sports,M,59,"FATAL, Multiple injuries",Bull Shark,"B, Myatt, GSAF"
2023-02-19,2023,Unprovoked,Usa,Florida,Board activities/sports,M,60,Injury to lower leg,Other,"CBS, 2/22/2023"
2023-02-18,2023,Unconfirmed,Argentina,Patagonia,Other,M,32,Death by misadventure,Other,"El Pais,  2/27/2023"
2023-02-17,2023,Unconfirmed,Fiji,Taveuni Island,Other,M,41,Unconfirmed,Other,"Fiji Sun, 2/25/2023"
2023-02-04,2023,Unprovoked,Australia,Western Australia,Swimming activities/sports,F,16,Fatal,Bull Shark,"B. Myatt, GSAF"
2023-01-30,2023,Unprovoked,Australia,Queensland,Other,M,8,Minor injury to chest ,Other,"9News, 1/31/2023"
2023-01-05,2023,Unprovoked,Mexico,Gulf of California,Board activities/sports,M,53,Fatal,Other,"El imparcial., 1/5/2023"
2023-01-01,2023,Provoked,Usa,Florida,Other,M,30,Knocked spear out of his hands and fin bitten,Other,"A. Currie, GSAF"
2022-12-30,2022,Provoked,South Africa,KNZ,Swimming activities/sports,M,26,Hamd bitten,Black Shark,"A Currie, GSAF"
2022-12-13,2022,Unprovoked,Usa,Hawaii,Swimming activities/sports,M,68,"Lower left torso, defensive wounds to hands",Tiger Shark,"A. Currie, GSAF"
2022-12-09,2022,Unprovoked,Usa,Samoa,Swimming activities/sports,M,43,Left leg bitten,Other,"A. Currie, GSAF"
2022-12-08,2022,Unprovoked,Usa,Hawaii,Swimming activities/sports,F,60,Fatal attack,Tiger Shark,"A.Currie, GSAF"
2022-12-07,2022,Unprovoked,Usa,Texas,Board activities/sports,M,,Foot bitten,Black Shark,"A.Currie, GSAF"
2022-11-27,2022,Unprovoked,Usa,Florida,Swimming activities/sports,F,10,Foot bitten,Other,"A. Currie, GSAF"
2022-11-04,2022,Unprovoked,Usa,California,Swimming activities/sports,F,50,Shallow punctures & lacerations to right thigh,White Shark,"R.Collier, GSAF"
2022-11-03,2022,Provoked,Usa,Florida,Other,M,29,Right knee & thigh bitten by hooked shark,Other,"Miami Herald, 11/4/2022"
2022-10-31,2022,Unprovoked,Usa,California,Board activities/sports,M,,Minor inury from shark's fin,Other,"R. Collier, GSAF"
2022-10-28,2022,Exogens,Usa,Louisiana,Other,M,40,Minor injuries to hands,Other,"A. Currie, GSAF"
2022-10-28,2022,Unprovoked,Bahamas,,Swimming activities/sports,M,,Torso bitten,Other,"Bahamas Press, 10/29/2022"
2022-10-27,2022,Provoked,Usa,Mississippi,Other,M,,Minor injuries,Other,"WXXV, 10/27/2022"
2022-10-23,2022,Unprovoked,Australia,South Australia,Board activities/sports,M,19,"No injury, ski holed by shark",Other,"S. de Marchi & B. Myatt,, GSAF"
2022-10-10,2022,Provoked,Usa,Florida,Other,M,15,Minor injury to leg by hooked shark,Other,"NBC Miami, 10/10/2022"
2022-10-08,2022,Unprovoked,Usa,Louisiana,Boat activities,M,40,Hand bitten,Other,"People Magazine, 10/14/2022"
2022-10-07,2022,Unprovoked,Australia,Western  Australia,Other,M,38,"Multiple injuries to left shoulder, arm and hand",Bull Shark,"ABC,net, 10/07/2022"
2022-10-06,2022,Unprovoked,Australia,Victoria,Board activities/sports,M,17,Lacerations to foot,Other,"The Standard, 10/08/2022"
2022-10-02,2022,Unprovoked,Usa,California,Board activities/sports,M,31,Thigh injured,White Shark,"Outsider, 10/3/2022"
2022-09-25,2022,Unprovoked,South Africa,Western Cape Province,Swimming activities/sports,F,39,FATAL,White Shark,"Mirror, 9/25/2022"
2022-09-22,2022,Unprovoked,Usa,Florida,Other,M,26,Severe injuries to right arm,Other,"Go Fund Me, 10/2022"
2022-09-06,2022,Unprovoked,Bahamas,,Swimming activities/sports,F,58,FATAL,Bull Shark,"B. Myatt, GSAF"
2022-09-03,2022,Unprovoked,Usa,Hawaii,Swimming activities/sports,F,51,Injuries to left arm and right hand,Other,"Star Advertiser, 9/3/2022"
2022-08-31,2022,Unprovoked,Australia,New South Wales,Board activities/sports,M,14,Puncture wounds to right hand & forearm,Bronze Shark,"Surfline, 9/2/2022"
2022-08-17,2022,Unprovoked,Australia,New South Wales,Board activities/sports,M,,"No injury, kayak bitten in half",White Shark,A Currie. GSAF
2022-08-15,2022,Unprovoked,Usa,South Carolina,Swimming activities/sports,F,,Minor injury to leg,Other,"C. Creswell, GSAF"
2022-08-15,2022,Unprovoked,Usa,South Carolina,Playing or floating in the water,F,,Multiple lLacerations to right forearm,Black Shark,"C. Creswell, GSAF"
2022-08-15,2022,Unprovoked,Australia,Westerm Australia,Other,M,17,Lacerations to lower legs,White Shark,"S. De March, GSAF"
2022-08-13,2022,Unprovoked,Usa,Florida,Swimming activities/sports,M,10,"Lower left leg severely bitten, necessitating surgical amputation",Bull Shark,"Orlando Sentinel, 8/15/2022"
2022-08-10,2022,Unprovoked,Usa,California,Board activities/sports,M,,"No injury, board bitten",Other,"A .Currie, GSAF"
2022-07-28,2022,Unprovoked,England,Cornwall,Swimming activities/sports,F,,Minor injury to leg,Other,
2022-07-27,2022,Unprovoked,Usa,Florida,Fishing activities,M,13,Injury to upper lip,Other,"Click Orlando, 7/28/2022"
2022-07-25,2022,Unprovoked,Usa,Florida,Other,M,33,Minor bite to left  foot,Black Shark,"Wesh.com, 7/25/2022"
2022-07-20,2022,Unprovoked,Usa,New York,Board activities/sports,M,16,Four-inch cut to right foot,Other,"NY Post, 7/21/2022"
2022-07-19,2022,Unconfirmed,Usa,Florida,Other,,,minor injuries,Other,"WESH, 7/20/2022"
2022-07-19,2022,Unprovoked,Usa,Noirth Carolina,Board activities/sports,F,,Lacerations to lower leg,Other,C. Creswell. GSAF
2022-07-17,2022,Provoked,Usa,Florida,Other,M,,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT,Lemon Shark,"EMS1, 7/18/2022"
2022-07-16,2022,Unprovoked,Usa,Florida,Other,F,40,Minor lacerations to left calf,Other,"WESH, 717,2022"
2022-07-13,2022,Unprovoked,Usa,New York,Other,M,49,Left wrist and buttocks bitten,Other,"ABC News, 7/13/2022"
2022-07-13,2022,Unprovoked,Usa,New York,Board activities/sports,M,41,Two-inch laceration to leg,Tiger Shark,"M. Michaeson, GSAF"
